"year","quarter","time","Australia","Belgium","Canada","Switzerland","Germany","Denmark","Spain","Finland","France","UK","Ireland","Italy","Japan","S..Korea","Luxembourg","Netherlands","Norway","New.Zealand","Sweden","US","S..Africa","Croatia","Israel"
1975,"Q1",1975,7.6,15.18,16.16,48.83,52.02,15.78,8.71,13.49,11.1,5.92,3.44,8.19,60.14,8.7,7.49,14.92,13.36,7.41,14.57,17.27,3.23,0,0
1975,"Q2",1975.25,7.74,15.93,16.38,48.19,52.67,16.21,9.75,13.65,11.5,6.03,3.67,8.06,60.31,9.23,8.19,15.79,13.47,7.43,15.06,17.62,3.28,0,0
1975,"Q3",1975.5,8.04,16.64,17.09,47.72,53.34,17.02,9.96,13.84,11.92,6.15,3.89,7.97,60.51,9.82,8.87,16.82,13.7,7.54,15.59,17.66,3.29,0,0
1975,"Q4",1975.75,8.3,17.56,17.33,47.13,54.06,17.14,10.7,14.2,12.39,6.25,4.11,7.91,60.74,10.43,9.52,17.99,14.14,7.71,16.15,18,3.37,0,0
1976,"Q1",1976,8.58,18.75,17.57,46.43,54.83,17.66,10.77,14.42,12.89,6.46,4.32,7.88,60.96,11.07,10.16,18.99,14.12,7.85,16.72,18.14,3.44,0,0
1976,"Q2",1976.25,8.83,19.67,18.1,46.1,55.68,17.71,12.05,14.49,13.34,6.58,4.53,7.89,61.36,11.71,10.77,21.32,14.75,8.02,17.34,18.89,3.51,0,0
1976,"Q3",1976.5,9.07,20.58,18.09,45.78,56.58,18.13,12.5,14.71,13.8,6.66,4.73,7.93,61.93,12.42,11.37,23.01,15.1,8.12,17.99,19.2,3.51,0,0
1976,"Q4",1976.75,9.26,21.5,17.98,46.02,57.56,18.97,12.51,14.87,14.33,6.81,4.94,8,62.52,13.15,11.95,24.39,15.71,8.24,18.7,19.45,3.51,0,0
1977,"Q1",1977,9.48,22.45,17.87,45.94,58.6,19.06,12.8,14.94,14.96,6.94,5.06,8.11,63.21,13.74,12.56,26.86,16.01,8.41,19.49,20.02,3.51,0,0
1977,"Q2",1977.25,9.66,23.42,18.05,46.25,59.71,20.09,12.2,15.09,15.43,6.99,5.29,8.26,63.91,14.56,13.07,31.05,16.23,8.61,20.2,20.95,3.56,0,0.01
1977,"Q3",1977.5,9.87,24.4,18.23,46.59,60.89,20.92,14.17,15.09,15.88,7.13,5.53,8.44,64.64,15.53,13.51,31.75,16.6,8.67,20.89,21.43,3.56,0,0.01
1977,"Q4",1977.75,10.03,25.5,19.12,46.64,62.15,22.09,14.13,15.15,16.38,7.39,5.81,8.65,65.41,16.6,13.88,31.88,16.96,8.65,21.58,22.27,3.59,0,0.01
1978,"Q1",1978,10.22,26.13,19.39,47.01,63.51,22.85,15.43,15.42,16.77,7.65,6.09,8.9,66.16,17.55,14.09,32.26,16.99,8.64,22.2,22.96,3.63,0,0.01
1978,"Q2",1978.25,10.38,26.86,19.84,47.83,64.85,23.57,16.9,15.62,17.22,7.96,6.42,9.18,67.09,18.83,14.41,34.6,16.93,8.72,22.83,23.85,3.64,0,0.01
1978,"Q3",1978.5,10.62,27.64,20.3,48.86,66.18,24.26,17.17,15.6,17.69,8.42,6.79,9.56,68.14,20.37,14.75,32.57,17.37,8.81,23.46,24.57,3.72,0,0.01
1978,"Q4",1978.75,10.81,28.27,20.52,49.89,67.53,24.61,16.8,15.74,18.27,9.07,7.19,9.77,69.37,22.08,15.09,32.13,17.54,8.91,24.1,25.25,3.86,0,0.01
1979,"Q1",1979,11.03,28.95,20.94,50.87,68.94,25.21,16.64,16.04,18.71,9.67,7.81,9.7,70.69,24.44,15.43,31.27,17.6,9.05,24.83,26.38,3.94,0,0.01
1979,"Q2",1979.25,11.21,29.6,21.77,51.75,70.14,26.15,17.64,16.25,19.35,10.33,8.2,10.04,72.42,26.24,15.77,31.83,17.76,9.19,25.33,27.2,4.07,0,0.02
1979,"Q3",1979.5,12.05,30.08,22.75,53.06,71.16,26.64,17.41,16.6,20.07,11.01,8.54,10.67,74.53,28.12,16.13,31.44,17.94,9.3,25.73,27.78,4.23,0,0.02
1979,"Q4",1979.75,12.83,30.45,23.78,54.46,71.96,26.72,17.46,17.07,21,11.81,8.84,11.33,76.83,29.98,16.49,30.19,18.28,9.41,26.03,28.36,4.4,0,0.03
1980,"Q1",1980,13.64,30.66,24.9,56.11,72.47,26.25,17.85,17.83,22.49,12.44,8.83,12.07,79.46,31.76,16.96,29.45,18.79,9.59,26.15,28.86,4.57,0,0.03
1980,"Q2",1980.25,14.31,30.27,26.27,57.07,73.35,25.24,18.26,18.47,23.34,12.83,9.14,12.91,82.03,33.5,17.28,29.54,19.5,9.92,26.25,29.27,4.88,0,0.04
1980,"Q3",1980.5,14.74,29.72,27.53,58.16,74.53,25.77,20.46,19.1,24.1,13.2,9.51,13.61,84.71,35.38,17.54,27.94,20.01,10.26,26.33,30.09,5.34,0,0.04
1980,"Q4",1980.75,14.94,29.08,29.65,59.1,76.01,25.93,21.71,19.58,24.88,13.32,9.94,15.08,87.18,37.24,17.77,27.46,20.67,10.58,26.33,30.23,5.83,0,0.05
1981,"Q1",1981,16.15,28.65,33.41,61.01,77.91,25.77,21.13,20.45,25.57,13.52,10.75,17.62,89.47,40.09,18,27.25,21.08,10.99,26.05,30.41,6.34,0,0.06
1981,"Q2",1981.25,16.64,28.4,36.64,62.87,79.42,24.53,21.98,21.1,26.1,13.76,11.17,19.09,91.74,41.44,18.1,26.43,21.52,11.96,25.97,30.97,6.87,0,0.08
1981,"Q3",1981.5,16.38,28.07,40.55,64.08,80.67,23.74,23.21,21.89,26.54,13.83,11.52,19.8,93.97,42.54,18.1,25.56,21.95,12.88,25.98,31.47,7.41,0,0.1
1981,"Q4",1981.75,17.12,27.85,39.04,65.12,81.67,24.29,23.84,22.7,27.04,13.65,11.81,20.64,96.04,43.21,18,23.7,22.34,13.92,26.05,31.5,7.86,0,0.12
1982,"Q1",1982,16.99,27.38,38.34,66.1,82.47,24.09,21.64,24.03,27.31,13.5,11.86,21.4,97.98,41.09,17.59,22.75,22.99,15.07,26.21,32.01,8.18,0,0.16
1982,"Q2",1982.25,17.41,27.21,37.64,66.21,83.06,24.09,19.33,24.98,27.62,13.96,12.08,22.06,99.75,41.78,17.45,22.88,23.59,16.37,26.24,32.23,8.45,0,0.19
1982,"Q3",1982.5,17.2,27.38,36.02,66.51,83.44,23.62,18.77,25.89,27.9,14.15,12.3,22.73,101.35,43.17,17.39,23.44,24.05,16.76,26.28,31.94,8.69,0,0.23
1982,"Q4",1982.75,17.19,27.25,33.79,67.12,83.61,24.29,16.88,27.17,28.32,14.46,12.52,23.04,102.78,45.08,17.37,22.53,24.3,17.12,26.32,32.39,8.94,0,0.29
1983,"Q1",1983,17.58,27.04,34.03,67.8,83.54,26.37,18.14,28.94,28.8,15.08,12.78,22.85,104.03,50.14,17.4,22.53,25.18,17.31,26.13,32.97,9.46,0,0.34
1983,"Q2",1983.25,18.2,26.89,34.42,68.68,83.37,29.44,17.45,30.13,29.07,15.47,12.99,23.05,105.16,51.93,17.48,23.66,25.37,17.67,26.15,33.27,10.04,0,0.44
1983,"Q3",1983.5,18.19,26.76,35.06,69.95,83.08,29.94,16.43,31.38,29.3,15.93,13.17,23.51,106.13,53.42,17.62,24.05,25.46,18.13,26.28,33.54,10.54,0,0.55
1983,"Q4",1983.75,18.77,26.74,34.96,71.03,82.62,30.96,15.55,32.64,29.67,16.18,13.34,23.87,107.06,54.36,17.81,23.01,25.46,18.71,26.55,33.78,11.14,0,0.79
