ZIP code,Records
41,1
61,1
101,1
101,1
101,1
133,1
133,1
133,1
133,1
133,1
133,1
133,1
133,1
133,1
133,1
133,1
133,1
133,1
133,1
144,1
144,1
185,1
185,1
185,1
185,1
185,1
185,1
185,1
185,1
195,1
196,1
277,1
330,1
330,1
550,1
550,1
551,1
551,1
551,1
551,1
701,1
926,1
927,1
1000,1
1000,1
1032,1
1108,1
1187,1
1187,1
1187,1
1187,1
1187,1
1187,1
1187,1
1267,1
1267,1
1267,1
1267,1
1267,1
1267,1
1447,1
1447,1
1609,1
1854,1
2015,1
2015,1
2015,1
2044,1
2044,1
2044,1
2115,1
2115,1
2115,1
2115,1
2115,1
2115,1
2115,1
2138,1
2138,1
2138,1
2139,1
2215,1
2777,1
3010,1
3920,1
3920,1
3920,1
3920,1
4200,1
4469,1
4469,1
4510,1
4510,1
4510,1
4510,1
4510,1
4510,1
4510,1
4510,1
4510,1
4510,1
4510,1
4510,1
4510,1
4518,1
6071,1
6071,1
6071,1
6071,1
6511,1
6520,1
6520,1
6520,1
6531,1
6531,1
6531,1
6531,1
6532,1
6532,1
6800,1
6800,1
7000,1
7000,1
7047,1
7058,1
7059,1
7071,1
7306,1
7306,1
7743,1
8014,1
8014,1
8034,1
8034,1
8034,1
8034,1
8034,1
8034,1
8034,1
8035,1
8035,1
8035,1
8035,1
8035,1
8035,1
8035,1
8035,1
8035,1
8035,1
8035,1
8036,1
8193,1
8193,1
8903,1
9107,1
10000,1
10000,1
10000,1
10000,1
10000,1
10000,1
10000,1
10000,1
10000,1
10000,1
10000,1
10002,1
10016,1
10020,1
10020,1
10020,1
10021,1
10021,1
10021,1
10021,1
10024,1
10027,1
10027,1
10027,1
10027,1
10027,1
10029,1
10031,1
10032,1
10072,1
10099,1
10099,1
10099,1
10099,1
10100,1
10117,1
10117,1
10117,1
10117,1
10117,1
10124,1
10125,1
10129,1
10129,1
10129,1
10129,1
10129,1
10129,1
10129,1
10129,1
10131,1
10140,1
10140,1
10140,1
10140,1
10140,1
10140,1
10140,1
10140,1
10223,1
10310,1
10400,1
10400,1
10400,1
10400,1
10434,1
10434,1
10461,1
10483,1
10532,1
10562,1
10617,1
10617,1
10617,1
10617,1
10617,1
10617,1
10617,1
10636,1
10764,1
10764,1
10764,1
10764,1
10764,1
10764,1
10785,1
11000,1
11000,1
11000,1
11000,1
11000,1
11002,1
11002,1
11012,1
11012,1
11012,1
11014,1
11103,1
11200,1
11217,1
11217,1
11217,1
11386,1
11428,1
11451,1
11452,1
11530,1
11548,1
11548,1
11548,1
11548,1
11581,1
11600,1
11605,1
11786,1
11790,1
11794,1
11794,1
11800,1
12120,1
12180,1
12181,1
12203,1
12203,1
12203,1
12621,1
12866,1
13060,1
13081,1
13125,1
13126,1
13126,1
13126,1
13210,1
13397,1
13397,1
13397,1
13397,1
13397,1
14000,1
14000,1
14000,1
14004,1
14071,1
14194,1
14195,1
14214,1
14260,1
14260,1
14261,1
14415,1
14850,1
14850,1
14853,1
14853,1
14853,1
14853,1
14853,1
14853,1
14853,1
15007,1
15123,1
15236,1
15236,1
15236,1
15260,1
15260,1
15260,1
15614,1
15745,1
15745,1
15745,1
16126,1
16132,1
16132,1
16132,1
16132,1
16502,1
16502,1
16502,1
16540,1
16540,1
16540,1
16540,1
16540,1
16540,1
16540,1
16610,1
16628,1
16802,1
16802,1
17177,1
17177,1
17177,1
17177,1
17954,1
18011,1
18011,1
18071,1
18071,1
18071,1
18071,1
18071,1
18071,1
18071,1
18071,1
18071,1
18071,1
18071,1
18071,1
18071,1
18071,1
18071,1
18071,1
18071,1
18071,1
18071,1
18071,1
18071,1
18071,1
18071,1
18071,1
18071,1
18524,1
18524,1
18701,1
18701,1
18701,1
18701,1
19001,1
19003,1
19004,1
19086,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19104,1
19106,1
19106,1
19122,1
19130,1
19130,1
19174,1
19194,1
19312,1
19312,1
19312,1
19835,1
20014,1
20024,1
20036,1
20052,1
20052,1
20052,1
20052,1
20052,1
20052,1
20052,1
20052,1
20052,1
20064,1
20123,1
20126,1
20133,1
20133,1
20136,1
20418,1
20433,1
20500,1
20500,1
20515,1
20550,1
20550,1
20550,1
20550,1
20560,1
20618,1
20618,1
20618,1
20742,1
20742,1
20742,1
20742,1
20742,1
20742,1
20780,1
20783,1
20910,1
21000,1
21000,1
21000,1
21000,1
21020,1
21027,1
21210,1
21210,1
21224,1
21827,1
22001,1
22030,1
22100,1
22133,1
22217,1
22217,1
22217,1
22217,1
22217,1
22217,1
22217,1
22217,1
22217,1
22217,1
22217,1
22230,1
22290,1
23284,1
24060,1
24061,1
24061,1
24061,1
24061,1
24061,1
24061,1
24061,1
24061,1
24061,1
24061,1
24061,1
24061,1
24142,1
24142,1
24205,1
25137,1
25137,1
25137,1
26077,1
27409,1
27412,1
27514,1
27514,1
27695,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28002,1
28006,1
28006,1
28006,1
28008,1
28013,1
28013,1
28014,1
28020,1
28029,1
28037,1
28037,1
28037,1
28037,1
28037,1
28037,1
28037,1
28037,1
28037,1
28037,1
28040,1
28040,1
28049,1
28049,1
28092,1
28213,1
28223,1
28359,1
28359,1
28660,1
28850,1
28871,1
28871,1
28871,1
28871,1
28871,1
28871,1
28871,1
28871,1
28871,1
28871,1
28871,1
28871,1
28871,1
28903,1
28903,1
28903,1
28903,1
28903,1
28903,1
28903,1
28903,1
29208,1
30013,1
30032,1
30059,1
30081,1
30084,1
30100,1
30167,1
30244,1
30244,1
30303,1
30303,1
30303,1
30318,1
30332,1
30332,1
30332,1
30332,1
30332,1
30332,1
30332,1
30332,1
30332,1
