Rank,Name,Count
1.0,CHLOE ,5708.0
2.0,EMILY ,5390.0
3.0,JESSICA ,5094.0
4.0,ELLIE ,4854.0
5.0,SOPHIE ,4688.0
6.0,MEGAN ,4576.0
7.0,CHARLOTTE ,4208.0
8.0,HANNAH ,3874.0
9.0,OLIVIA ,3798.0
10.0,LUCY ,3796.0
11.0,LAUREN ,3513.0
12.0,HOLLY ,3435.0
13.0,KATIE ,3279.0
14.0,AMY ,2978.0
15.0,MOLLY ,2916.0
16.0,ELLA ,2763.0
17.0,BETHANY ,2627.0
18.0,REBECCA ,2529.0
19.0,GRACE ,2519.0
20.0,MIA ,2446.0
21.0,GEORGIA ,2335.0
22.0,ABIGAIL ,2318.0
23.0,CAITLIN ,2222.0
24.0,LEAH ,2060.0
25.0,AMELIA ,1973.0
26.0,ELEANOR ,1942.0
27.0,EMMA ,1903.0
28.0,LILY ,1706.0
29.0,JASMINE ,1695.0
30.0,ELIZABETH ,1624.0
31.0,SHANNON ,1590.0
32.0,COURTNEY ,1537.0
33.0,ALICE ,1511.0
34.0,MILLIE ,1499.0
35.0,JADE ,1496.0
36.0,AMBER ,1296.0
37.0,ANNA ,1292.0
38.0,ERIN ,1278.0
39.0,SARAH ,1161.0
40.0,DAISY ,1160.0
40.0,PHOEBE ,1160.0
42.0,ABBIE ,1153.0
43.0,ZOE ,1128.0
44.0,RACHEL ,1115.0
45.0,MAISIE ,1077.0
45.0,NICOLE ,1077.0
47.0,ISABELLE ,1073.0
48.0,LAURA ,1065.0
49.0,FREYA ,1049.0
50.0,ISABELLA ,1041.0
51.0,PAIGE ,1040.0
52.0,NATASHA ,1003.0
53.0,ISOBEL ,960.0
54.0,NIAMH ,956.0
55.0,ROSIE ,951.0
56.0,ALEXANDRA ,910.0
57.0,EVE ,907.0
58.0,LOUISE ,902.0
59.0,ISABEL ,891.0
60.0,IMOGEN ,890.0
61.0,HOLLIE ,886.0
62.0,ALICIA ,866.0
63.0,POPPY ,828.0
64.0,ALISHA ,818.0
65.0,AIMEE ,801.0
66.0,RUBY ,795.0
67.0,MORGAN ,791.0
68.0,TIA ,774.0
69.0,JODIE ,745.0
70.0,MOLLIE ,740.0
71.0,LIBBY ,728.0
72.0,MADELEINE ,727.0
73.0,HARRIET ,718.0
74.0,JENNIFER ,704.0
75.0,GEORGINA ,692.0
76.0,LYDIA ,687.0
77.0,VICTORIA ,672.0
78.0,CHELSEA ,670.0
79.0,SAMANTHA ,663.0
80.0,MADISON ,653.0
81.0,EVIE ,652.0
82.0,KATE ,651.0
83.0,DANIELLE ,641.0
84.0,KAYLEIGH ,640.0
85.0,KATHERINE ,624.0
86.0,SOPHIA ,622.0
87.0,MELISSA ,621.0
88.0,FRANCESCA ,599.0
89.0,GABRIELLE ,574.0
90.0,YASMIN ,573.0
91.0,CHARLIE ,545.0
92.0,AALIYAH ,533.0
93.0,ELLE ,502.0
94.0,STEPHANIE ,500.0
95.0,ELOISE ,495.0
96.0,ELISE ,493.0
97.0,LARA ,482.0
98.0,ELLEN ,481.0
99.0,NATALIE ,480.0
100.0,ABBY ,456.0
100.0,ZARA ,456.0
102.0,GEMMA ,446.0
103.0,MAYA ,444.0
104.0,ANNABEL ,443.0
105.0,FAYE ,442.0
106.0,NAOMI ,440.0
107.0,TEGAN ,437.0
108.0,BROOKE ,436.0
109.0,CATHERINE ,433.0
110.0,MARIA ,413.0
111.0,DEMI ,411.0
112.0,BETHAN ,408.0
113.0,KIRSTY ,403.0
114.0,SARA ,401.0
115.0,AISHA ,397.0
115.0,TAYLOR ,397.0
117.0,CERYS ,395.0
118.0,CASEY ,394.0
119.0,FAITH ,389.0
120.0,KELSEY ,386.0
121.0,KIERA ,382.0
121.0,RHIANNON ,382.0
123.0,SKYE ,381.0
124.0,SIAN ,376.0
125.0,BETH ,375.0
125.0,EBONY ,375.0
127.0,MATILDA ,369.0
128.0,SCARLETT ,367.0
129.0,ANYA ,366.0
129.0,MADELINE ,366.0
131.0,LOIS ,365.0
132.0,ASHLEIGH ,363.0
133.0,MYA ,349.0
134.0,INDIA ,347.0
135.0,KACEY ,342.0
136.0,SASHA ,338.0
137.0,ROBYN ,337.0
138.0,EVA ,330.0
139.0,SUMMER ,325.0
140.0,HEATHER ,322.0
141.0,CIARA ,320.0
142.0,MADDISON ,317.0
143.0,KIRA ,315.0
144.0,ANGEL ,311.0
144.0,ROSE ,311.0
146.0,MARY ,310.0
147.0,MILLY ,306.0
148.0,MARYAM ,298.0
149.0,CAITLYN ,296.0
150.0,JASMIN ,295.0
151.0,SOFIA ,291.0
152.0,SAFFRON ,288.0
153.0,REBEKAH ,287.0
154.0,KATHRYN ,286.0
155.0,ANNIE ,283.0
156.0,FLORENCE ,278.0
157.0,KATY ,276.0
157.0,MARTHA ,276.0
159.0,JENNA ,275.0
159.0,SHAUNA ,275.0
161.0,CHANTELLE ,274.0
162.0,ANNABELLE ,271.0
162.0,RHIANNA ,271.0
164.0,FFION ,270.0
165.0,ZAINAB ,267.0
166.0,TARA ,265.0
167.0,KIMBERLEY ,264.0
168.0,EMILIA ,261.0
169.0,RACHAEL ,260.0
170.0,SHAKIRA ,258.0
171.0,HAYLEY ,256.0
172.0,SANA ,254.0
173.0,AMELIE ,250.0
173.0,MAISY ,250.0
175.0,HOPE ,247.0
175.0,SADIE ,247.0
177.0,GABRIELLA ,246.0
178.0,SIMRAN ,243.0
179.0,LAYLA ,241.0
179.0,TILLY ,241.0
181.0,CARA ,240.0
182.0,ELENA ,237.0
183.0,ELISHA ,236.0
184.0,IQRA ,234.0
185.0,MACY ,233.0
186.0,CLAUDIA ,228.0
186.0,LILLY ,228.0
188.0,GRACIE ,227.0
188.0,NEVE ,227.0
188.0,ZAHRA ,227.0
191.0,NADIA ,226.0
192.0,KACI ,224.0
193.0,AYESHA ,223.0
193.0,FATIMA ,223.0
195.0,EDEN ,221.0
196.0,AMINA ,218.0
196.0,ELIZA ,218.0
196.0,JOSEPHINE ,218.0
196.0,KAITLYN ,218.0
196.0,LIBERTY ,218.0
196.0,LOUISA ,218.0
202.0,ESME ,215.0
202.0,PARIS ,215.0
204.0,AVA ,214.0
204.0,JOSIE ,214.0
206.0,JEMIMA ,213.0
207.0,SYDNEY ,210.0
208.0,CHARLEY ,209.0
209.0,JESSIE ,207.0
209.0,KAITLIN ,207.0
211.0,KEIRA ,206.0
212.0,ALANA ,201.0
212.0,EVELYN ,201.0
212.0,LUCIE ,201.0
215.0,ALIYAH ,200.0
215.0,JORDAN ,200.0
217.0,ESTHER ,198.0
217.0,TAMZIN ,198.0
219.0,TABITHA ,196.0
220.0,JEMMA ,195.0
221.0,ABBEY ,194.0
222.0,KELLY ,193.0
223.0,BRYONY ,192.0
224.0,MAIA ,188.0
224.0,MARIAM ,188.0
226.0,ALYSSA ,186.0
227.0,SASKIA ,185.0
228.0,DANIELLA ,183.0
228.0,HELENA ,183.0
230.0,JAMIE ,182.0
231.0,NICOLA ,178.0
231.0,RIA ,178.0
233.0,ALEX ,176.0
234.0,KATELYN ,175.0
235.0,NIKITA ,173.0
236.0,RUTH ,172.0
237.0,TRINITY ,170.0
238.0,LOLA ,169.0
238.0,WILLOW ,169.0
240.0,HANA ,168.0
241.0,TIFFANY ,167.0
242.0,KEELEY ,166.0
243.0,FELICITY ,165.0
244.0,HEIDI ,164.0
245.0,AMIE ,163.0
245.0,CARYS ,163.0
245.0,PHILIPPA ,163.0
248.0,LISA ,160.0
249.0,DARCY ,159.0
249.0,SAVANNAH ,159.0
249.0,TAYLA ,159.0
252.0,ANTONIA ,158.0
253.0,KYRA ,157.0
254.0,SHANIA ,156.0
255.0,SINEAD ,155.0
256.0,SYEDA ,154.0
256.0,TIEGAN ,154.0
258.0,BEATRICE ,153.0
259.0,KAYLA ,152.0
259.0,LUCIA ,152.0
259.0,NIA ,152.0
259.0,NINA ,152.0
263.0,LEANNE ,150.0
263.0,LEILA ,150.0
263.0,MICHAELA ,150.0
