Rank,Name,Count
1.0,AMELIA ,7061.0
2.0,OLIVIA ,4585.0
3.0,JESSICA ,4165.0
4.0,EMILY ,4029.0
5.0,LILY ,3802.0
6.0,AVA ,3779.0
7.0,MIA ,3524.0
8.0,ISLA ,3501.0
9.0,SOPHIE ,3496.0
10.0,ISABELLA ,3358.0
11.0,EVIE ,3280.0
12.0,RUBY ,3231.0
13.0,POPPY ,3203.0
14.0,GRACE ,3188.0
15.0,SOPHIA ,2855.0
16.0,CHLOE ,2776.0
17.0,ISABELLE ,2594.0
18.0,ELLA ,2559.0
19.0,FREYA ,2557.0
20.0,CHARLOTTE ,2290.0
21.0,SCARLETT ,2248.0
22.0,DAISY ,2209.0
23.0,LOLA ,2010.0
24.0,EVA ,1946.0
25.0,HOLLY ,1937.0
26.0,MILLIE ,1912.0
27.0,LUCY ,1908.0
28.0,PHOEBE ,1825.0
29.0,LAYLA ,1796.0
30.0,MAISIE ,1658.0
31.0,SIENNA ,1625.0
32.0,ALICE ,1577.0
33.0,LILLY ,1536.0
34.0,FLORENCE ,1531.0
35.0,ELLIE ,1527.0
36.0,ERIN ,1504.0
37.0,IMOGEN ,1454.0
38.0,ELIZABETH ,1446.0
39.0,MOLLY ,1434.0
40.0,SUMMER ,1408.0
41.0,MEGAN ,1388.0
42.0,HANNAH ,1357.0
43.0,SOFIA ,1336.0
44.0,ABIGAIL ,1316.0
45.0,JASMINE ,1313.0
46.0,LEXI ,1301.0
47.0,MATILDA ,1284.0
48.0,ROSIE ,1263.0
49.0,LACEY ,1220.0
50.0,EMMA ,1149.0
51.0,AMELIE ,1146.0
52.0,GRACIE ,1104.0
53.0,MAYA ,1072.0
54.0,HOLLIE ,1062.0
55.0,GEORGIA ,1055.0
56.0,EMILIA ,1050.0
57.0,EVELYN ,1034.0
58.0,BELLA ,1027.0
59.0,BROOKE ,1026.0
60.0,AMBER ,1023.0
61.0,ELIZA ,996.0
62.0,AMY ,995.0
63.0,ELEANOR ,989.0
64.0,LEAH ,944.0
65.0,ESME ,934.0
66.0,KATIE ,914.0
67.0,HARRIET ,904.0
68.0,ANNA ,902.0
69.0,WILLOW ,892.0
70.0,ELSIE ,888.0
71.0,ZARA ,886.0
72.0,ANNABELLE ,884.0
73.0,BETHANY ,868.0
73.0,FAITH ,868.0
75.0,MADISON ,846.0
76.0,ISABEL ,774.0
77.0,MARTHA ,770.0
78.0,ROSE ,764.0
79.0,JULIA ,751.0
80.0,PAIGE ,715.0
81.0,MARYAM ,700.0
82.0,MADDISON ,696.0
83.0,HEIDI ,678.0
84.0,MOLLIE ,672.0
84.0,NIAMH ,672.0
86.0,SKYE ,666.0
87.0,AISHA ,642.0
88.0,IVY ,633.0
89.0,DARCEY ,632.0
90.0,FRANCESCA ,622.0
91.0,ZOE ,620.0
92.0,KEIRA ,610.0
92.0,TILLY ,610.0
94.0,MARIA ,609.0
95.0,SARAH ,592.0
96.0,LYDIA ,590.0
97.0,CAITLIN ,589.0
98.0,ISOBEL ,585.0
99.0,SARA ,584.0
100.0,VIOLET ,580.0
101.0,ALEXIS ,576.0
102.0,LEXIE ,568.0
103.0,LAUREN ,559.0
104.0,MYA ,550.0
104.0,SEREN ,550.0
106.0,VICTORIA ,531.0
107.0,DARCY ,528.0
108.0,REBECCA ,526.0
109.0,ANNABEL ,524.0
110.0,ELOISE ,515.0
111.0,MAISY ,511.0
112.0,LOTTIE ,510.0
113.0,FATIMA ,506.0
114.0,BEATRICE ,503.0
115.0,LARA ,501.0
116.0,ALEXANDRA ,498.0
116.0,TIA ,498.0
118.0,LAILA ,495.0
119.0,NICOLE ,488.0
120.0,GABRIELLA ,484.0
121.0,NEVAEH ,483.0
122.0,DARCIE ,476.0
122.0,IRIS ,476.0
124.0,NANCY ,456.0
125.0,AALIYAH ,454.0
125.0,ANNIE ,454.0
127.0,LIBBY ,450.0
128.0,LOIS ,447.0
129.0,ALISHA ,434.0
129.0,MAJA ,434.0
129.0,ZAINAB ,434.0
132.0,LEILA ,431.0
132.0,LYLA ,431.0
134.0,EVE ,430.0
