State,Home.Value,Structure.Cost,Land.Value,Land.Share.Pct.,Home.Price.Index,Land.Price.Index
AL,195946.20541831036,175060.5533691653,20885.65204914505,0.10658870379529883,1.7540253438368956,1.2090292463023287
AK,243292.38822389877,228063.97730322264,15228.410920676135,0.062593043012351135,1.60128309519935,0.29987804825540976
AZ,310230.0472362037,209340.86640513878,100889.1808310649,0.3252076377832276,1.9288583050459671,0.19190436952541812
AR,186002.31810578855,162661.67708654396,23340.64101924459,0.1254857533870607,1.9263568954824426,1.6139310567744034
CA,668485.7023772388,259725.94098583565,408759.76139140315,0.6114712101362678,2.2273449925556092,2.5399420529375543
CO,389275.6407683979,220944.36721076217,168331.27355763572,0.4324218007203423,1.8440814723275614,1.979359384402663
CT,351943.72857819736,219599.1637026949,132344.56487550246,0.3760389918301874,1.4487847962699245,1.0320867615538614
DE,388662.7026749367,231059.77226096933,157602.93041396735,0.4055005261098611,2.4716134798527754,3.9671021474031516
DC,932435.1671737315,209207.8836477503,723227.2835259812,0.775632782832642,3.562753010014348,4.426245320379845
FL,304481.45539711864,208825.2321705526,95656.22322656604,0.3141610811791701,2.0718619613400246,2.331463874522068
GA,226049.9134830832,171883.23476444944,54166.678718633746,0.23962264742334172,1.53671644585041,0.035300279697070225
HI,1030080.5527285229,288065.54424922465,742015.0084792983,0.7203465850450395,3.122174320483175,4.201818196685474
ID,315583.23986713396,205489.10010611048,110094.13976102349,0.3488592734119056,2.328405546762665,4.863053004949598
IL,253096.87576340674,223328.8669429253,29768.008820481453,0.11761507814228567,1.5077316178583333,0.5805354239337626
IN,212141.71070581977,178353.4133765372,33788.29732928256,0.15927229594248593,1.8097554939364187,2.0049394245868344
IA,176476.40296968253,155686.4772199801,20789.925749702437,0.11780569753155046,1.7787741888403887,0.6452068927973763
KS,184067.76260954695,160726.00776916914,23341.754840377806,0.1268106620597732,1.734796082025145,1.3423157997186155
KY,190531.84092716203,168133.73311573322,22398.10781142881,0.11755572035852702,1.758269090431558,0.4217233115664699
LA,195901.364017315,171955.08702491375,23946.276992401254,0.12223639744685355,1.7826036206649105,1.404861127403694
ME,232979.54531401597,187222.42729327988,45757.11802073609,0.1963997223836258,1.7898359530024337,1.396923655960929
MD,396659.9690569783,206687.01527650523,189972.95378047306,0.47893149952115377,2.105679852640505,2.3839688519809115
MA,358075.329530652,228490.07110663306,129585.25842401892,0.3618938467329572,1.4637951638314746,1.0771186570576845
MI,201966.36826193146,150309.723095676,51656.645166255475,0.25576855003532895,1.3813444241976034,0.002231298322483247
MN,216721.2730960102,181873.17424348314,34848.098852527066,0.16079685374074437,1.5083114144791354,0.030741832331736597
MS,175271.3964033343,155215.18683145993,20056.20957187438,0.11442945046047936,1.8276053951554854,0.3763370185355605
MO,198810.74948506014,173168.10636430772,25642.643120752415,0.12898016423744418,1.6670195292774206,0.07934154171579728
MT,287807.7240302191,187997.3973964954,99810.32663372369,0.34679516322933657,2.2154393351567947,4.269081161967614
NE,178669.4923063847,152262.72130416226,26406.771002222435,0.14779675400285897,1.7165679717153581,0.24807710577595224
NV,344255.5801124684,200410.6693429193,143844.91076954908,0.41784336719409143,1.9393992219570158,1.6793676198552372e-5
NH,192564.27570908234,179441.87192666723,13122.403782415116,0.06814557754336459,1.2209396113006825,0.01621139782791263
NJ,359278.7743099032,222072.6908226513,137206.08348725192,0.38189309610843314,1.6094440675509356,1.3386616816662502
NM,233271.90153761618,189136.99363134892,44134.90790626727,0.18919941756958802,1.7161342787624398,1.5587308025872573
NY,338761.7578385538,233202.21405847828,105559.54378007553,0.3116040737702832,1.743222164672578,1.6263297717699194
NC,271750.50193280075,185788.00739552837,85962.49453727237,0.31632874245262455,1.9154935968201856,1.8962454211080892
ND,240761.71764228845,155540.6877685161,85221.02987377235,0.3539642045600847,2.808317787448259,17.92454760018085
OH,184970.67631183923,160211.5640786286,24759.112233210617,0.13385425585766697,1.4344127227906078,0.07380774003800036
OK,161126.06362038743,145911.76933358875,15214.294286798686,0.0944247873059415,1.7792080946989337,0.6485381743916216
OR,448948.77055848646,218013.09987750373,230935.67068098273,0.5143920327339392,2.4149040278551768,3.7805268001795818
PA,264164.3818216129,197901.33312079814,66263.04870081475,0.25084020882709845,2.1108563291207427,3.565337033698734
RI,267431.0887292181,207351.0343917661,60080.05433745202,0.22465620815792609,1.6055707472433685,1.0600831056351228
SC,268249.90762386844,183263.79537492475,84986.11224894368,0.31681693015942625,2.0107151299066217,2.0877848919173827
SD,230264.03360689,157110.29167532249,73153.74193156752,0.31769504245051405,2.3113249082792717,4.6765215702371865
TN,241861.86931499792,184354.97518329544,57506.89413170249,0.23776750876264097,1.9238306198590494,2.05685348790317
TX,221114.30642711782,176045.4108514955,45068.89557562233,0.20382623044103043,1.9529253248890248,2.2288744255415045
UT,347753.126333524,214375.95715065656,133377.16918286745,0.3835398133989677,1.9500266431162243,2.260472642581214
VT,242569.5276140986,185910.0655996035,56659.462014495104,0.23358029580959594,1.6575931376460222,1.0462428215126152
VA,320922.0676270721,199631.90874833873,121290.15887873337,0.37794271916407685,1.9340017863853713,1.9022602209003554
WA,437379.59119257785,238898.4369073064,198481.15428527145,0.45379610361810496,2.042509869521604,2.3870237117302175
WV,169073.30145564882,154157.28921363453,14916.012242014287,0.08822216230234936,1.9029712024709513,2.1713029910798025
WI,214252.47324528365,190294.281078941,23958.192166342633,0.11182224318556389,1.600412279709873,0.38085621624308796
WY,286158.0684916638,186615.24900653397,99542.81948512982,0.3478595589137814,2.140211647925206,2.60302044978852
