Year,Sex,Name,Count
1996,Female,amelia,1278
1996,Female,america,105
1996,Female,amethyst,44
1996,Female,ami,40
1996,Female,amie,91
1996,Female,amina,118
1996,Female,aminah,50
1996,Female,aminata,12
1996,Female,amira,115
1996,Female,amiracle,6
1996,Female,amirah,61
1996,Female,amna,16
1996,Female,amoni,5
1996,Female,amparo,7
1996,Female,amrit,5
1996,Female,amrita,16
1996,Female,amy,4070
1996,Female,amyre,5
1996,Female,an,9
1996,Female,ana,2283
1996,Female,anabel,115
1996,Female,anabell,5
1996,Female,anabelle,21
1996,Female,anacaren,7
1996,Female,anahi,111
1996,Female,anahit,12
1996,Female,anahy,11
1996,Female,anai,38
1996,Female,anais,139
1996,Female,anakaren,38
1996,Female,analaura,8
1996,Female,analee,11
1996,Female,anali,12
1996,Female,analicia,30
1996,Female,analisa,59
1996,Female,analise,20
1996,Female,analuisa,6
1996,Female,analy,29
1996,Female,analysa,15
1996,Female,analyse,5
1996,Female,analyssa,6
1996,Female,anam,5
1996,Female,anamaria,36
1996,Female,anamarie,13
1996,Female,ananda,8
1996,Female,anareli,5
1996,Female,anastacia,22
1996,Female,anastasia,832
1996,Female,anay,7
1996,Female,anaya,26
1996,Female,anayeli,31
1996,Female,anderson,5
1996,Female,andi,40
1996,Female,andie,52
1996,Female,andrea,5666
1996,Female,andreana,8
1996,Female,andreina,41
1996,Female,andres,6
1996,Female,andrew,10
1996,Female,andria,98
1996,Female,andriana,49
1996,Female,andrianna,9
1996,Female,anecia,7
1996,Female,aneesah,5
1996,Female,aneisha,5
1996,Female,anel,31
1996,Female,anela,8
1996,Female,anesha,15
1996,Female,anessa,26
1996,Female,aneta,13
1996,Female,anette,13
1996,Female,angel,1927
1996,Female,angela,3860
1996,Female,angelee,5
1996,Female,angelena,10
1996,Female,angeles,32
1996,Female,angelia,49
1996,Female,angelic,38
1996,Female,angelica,3390
1996,Female,angelie,10
1996,Female,angelika,48
1996,Female,angelina,884
1996,Female,angeline,81
1996,Female,angelique,522
1996,Female,angelis,6
1996,Female,angelita,42
1996,Female,angella,5
1996,Female,angelle,20
1996,Female,angely,5
1996,Female,angie,302
1996,Female,angy,5
1996,Female,anh,18
1996,Female,ani,30
1996,Female,ania,11
1996,Female,anicia,8
1996,Female,anika,186
1996,Female,anisa,71
