Rank,Name,Count
1.0,EMILY ,5423.0
2.0,ELLIE ,5136.0
3.0,CHLOE ,5058.0
4.0,JESSICA ,4928.0
5.0,SOPHIE ,4592.0
6.0,MEGAN ,4077.0
7.0,LUCY ,4032.0
8.0,OLIVIA ,4024.0
9.0,CHARLOTTE ,3819.0
10.0,HANNAH ,3546.0
11.0,KATIE ,3521.0
12.0,ELLA ,3494.0
13.0,HOLLY ,3377.0
14.0,GRACE ,3165.0
15.0,MIA ,3132.0
16.0,AMY ,2889.0
17.0,LAUREN ,2823.0
18.0,MOLLY ,2782.0
19.0,EMMA ,2711.0
20.0,ABIGAIL ,2642.0
21.0,AMELIA ,2299.0
22.0,CAITLIN ,2277.0
23.0,LILY ,2221.0
24.0,BETHANY ,2205.0
25.0,REBECCA ,2120.0
26.0,GEORGIA ,1976.0
27.0,LEAH ,1903.0
28.0,MILLIE ,1869.0
29.0,ELEANOR ,1838.0
30.0,JASMINE ,1587.0
31.0,DAISY ,1553.0
32.0,ELIZABETH ,1539.0
33.0,ALICE ,1427.0
34.0,COURTNEY ,1419.0
35.0,SHANNON ,1402.0
36.0,ERIN ,1361.0
37.0,ISABELLA ,1350.0
38.0,ABBIE ,1287.0
39.0,ANNA ,1235.0
40.0,AMBER ,1222.0
41.0,ISABELLE ,1214.0
42.0,FREYA ,1211.0
43.0,POPPY ,1200.0
44.0,PHOEBE ,1182.0
45.0,PAIGE ,1161.0
46.0,ISABEL ,1120.0
47.0,RUBY ,1084.0
48.0,RACHEL ,1073.0
49.0,SARAH ,1066.0
50.0,ISOBEL ,1048.0
51.0,AIMEE ,1043.0
52.0,ROSIE ,1024.0
53.0,ZOE ,1019.0
54.0,TIA ,1010.0
55.0,MAISIE ,996.0
56.0,NIAMH ,991.0
57.0,LIBBY ,981.0
58.0,NATASHA ,973.0
59.0,NICOLE ,934.0
60.0,EVIE ,917.0
61.0,IMOGEN ,891.0
62.0,MORGAN ,887.0
63.0,ALICIA ,844.0
64.0,HOLLIE ,838.0
65.0,EVE ,830.0
66.0,ALISHA ,810.0
67.0,ALEXANDRA ,766.0
67.0,LAURA ,766.0
69.0,LYDIA ,754.0
70.0,LOUISE ,750.0
71.0,MADELEINE ,734.0
72.0,MADISON ,719.0
73.0,KATE ,714.0
74.0,SOPHIA ,709.0
75.0,CHELSEA ,684.0
76.0,GEORGINA ,671.0
77.0,JADE ,668.0
78.0,JODIE ,647.0
79.0,HARRIET ,645.0
80.0,FRANCESCA ,633.0
81.0,JENNIFER ,628.0
82.0,ELOISE ,616.0
83.0,KAYLEIGH ,612.0
84.0,MELISSA ,610.0
85.0,MOLLIE ,606.0
86.0,SUMMER ,605.0
87.0,VICTORIA ,601.0
88.0,CHARLIE ,584.0
89.0,KATHERINE ,577.0
90.0,SAMANTHA ,574.0
91.0,LARA ,568.0
92.0,YASMIN ,546.0
93.0,BROOKE ,544.0
94.0,NAOMI ,543.0
95.0,CERYS ,541.0
96.0,AALIYAH ,531.0
97.0,TEGAN ,530.0
98.0,FAITH ,522.0
99.0,ZARA ,505.0
100.0,ABBY ,500.0
101.0,DANIELLE ,496.0
102.0,KELSEY ,473.0
103.0,ELLEN ,464.0
104.0,EVA ,463.0
