Rank,Name,Count
1.0,CHLOE ,9038.0
2.0,EMILY ,6760.0
3.0,MEGAN ,6444.0
4.0,OLIVIA ,5250.0
5.0,SOPHIE ,5031.0
6.0,CHARLOTTE ,4964.0
7.0,LAUREN ,4889.0
8.0,JESSICA ,4799.0
9.0,REBECCA ,4624.0
10.0,HANNAH ,4351.0
11.0,BETHANY ,4072.0
12.0,GEORGIA ,4045.0
13.0,LUCY ,4037.0
14.0,AMY ,3881.0
15.0,KATIE ,3474.0
16.0,ELLIE ,3243.0
17.0,EMMA ,2920.0
18.0,COURTNEY ,2485.0
18.0,ELEANOR ,2485.0
20.0,ABIGAIL ,2397.0
21.0,SHANNON ,2350.0
22.0,MOLLY ,2313.0
23.0,HOLLY ,2189.0
24.0,JADE ,2148.0
25.0,CAITLIN ,2072.0
26.0,ALICE ,1962.0
27.0,ELLA ,1881.0
28.0,GRACE ,1867.0
29.0,LAURA ,1846.0
30.0,RACHEL ,1775.0
31.0,SARAH ,1733.0
32.0,LEAH ,1715.0
33.0,ELIZABETH ,1652.0
34.0,AMBER ,1595.0
35.0,JASMINE ,1550.0
36.0,NATASHA ,1527.0
37.0,AMELIA ,1511.0
38.0,PHOEBE ,1431.0
39.0,ANNA ,1369.0
40.0,VICTORIA ,1335.0
41.0,PAIGE ,1313.0
42.0,NICOLE ,1312.0
43.0,CHELSEA ,1261.0
44.0,GEORGINA ,1225.0
45.0,DANIELLE ,1211.0
46.0,IMOGEN ,1197.0
47.0,NIAMH ,1194.0
48.0,ZOE ,1174.0
49.0,ALEXANDRA ,1114.0
50.0,LYDIA ,1084.0
51.0,SAMANTHA ,1060.0
52.0,ABBIE ,1044.0
53.0,LILY ,1007.0
54.0,MIA ,980.0
55.0,ISOBEL ,945.0
56.0,FRANCESCA ,921.0
57.0,ISABELLA ,883.0
58.0,MELISSA ,863.0
59.0,HARRIET ,845.0
60.0,KATHERINE ,839.0
61.0,MILLIE ,812.0
61.0,TIA ,812.0
63.0,MORGAN ,808.0
63.0,ROSIE ,808.0
65.0,LOUISE ,804.0
66.0,NATALIE ,803.0
67.0,KAYLEIGH ,799.0
68.0,DAISY ,796.0
