Rank,Name,Count
1.0,OLIVER ,6941.0
2.0,JACK ,5371.0
3.0,HARRY ,5308.0
4.0,GEORGE ,4869.0
5.0,JACOB ,4850.0
6.0,CHARLIE ,4831.0
7.0,NOAH ,4148.0
8.0,WILLIAM ,4083.0
9.0,THOMAS ,4075.0
10.0,OSCAR ,4066.0
11.0,JAMES ,3912.0
12.0,MUHAMMAD ,3730.0
13.0,HENRY ,3581.0
14.0,ALFIE ,3540.0
15.0,LEO ,3468.0
16.0,JOSHUA ,3394.0
17.0,FREDDIE ,3219.0
18.0,ETHAN ,2940.0
19.0,ARCHIE ,2912.0
20.0,ISAAC ,2829.0
21.0,JOSEPH ,2786.0
22.0,ALEXANDER ,2759.0
23.0,SAMUEL ,2705.0
24.0,DANIEL ,2622.0
25.0,LOGAN ,2610.0
26.0,EDWARD ,2593.0
27.0,LUCAS ,2448.0
28.0,MAX ,2407.0
29.0,MOHAMMED ,2332.0
30.0,BENJAMIN ,2328.0
31.0,MASON ,2263.0
32.0,HARRISON ,2241.0
33.0,THEO ,2103.0
34.0,JAKE ,2013.0
35.0,SEBASTIAN ,1988.0
36.0,FINLEY ,1978.0
37.0,ARTHUR ,1966.0
38.0,ADAM ,1903.0
38.0,DYLAN ,1903.0
40.0,RILEY ,1728.0
41.0,ZACHARY ,1644.0
42.0,TEDDY ,1430.0
43.0,DAVID ,1394.0
44.0,TOBY ,1363.0
45.0,THEODORE ,1302.0
46.0,ELIJAH ,1294.0
47.0,MATTHEW ,1279.0
48.0,JENSON ,1223.0
49.0,JAYDEN ,1219.0
50.0,HARVEY ,1190.0
51.0,REUBEN ,1188.0
52.0,HARLEY ,1175.0
53.0,LUCA ,1167.0
54.0,MICHAEL ,1165.0
55.0,HUGO ,1153.0
56.0,LEWIS ,1148.0
57.0,FRANKIE ,1112.0
58.0,LUKE ,1095.0
59.0,STANLEY ,1078.0
60.0,TOMMY ,1075.0
61.0,JUDE ,1040.0
62.0,BLAKE ,1024.0
63.0,LOUIE ,1002.0
64.0,NATHAN ,997.0
65.0,GABRIEL ,989.0
66.0,CHARLES ,985.0
67.0,BOBBY ,983.0
68.0,MOHAMMAD ,976.0
69.0,RYAN ,955.0
70.0,TYLER ,948.0
71.0,ELLIOTT ,938.0
72.0,ALBERT ,933.0
73.0,ELLIOT ,926.0
74.0,RORY ,912.0
75.0,ALEX ,900.0
76.0,FREDERICK ,875.0
77.0,OLLIE ,873.0
78.0,LOUIS ,854.0
79.0,DEXTER ,850.0
80.0,JAXON ,837.0
81.0,LIAM ,836.0
82.0,JACKSON ,818.0
83.0,CALLUM ,798.0
83.0,RONNIE ,798.0
85.0,LEON ,795.0
86.0,KAI ,775.0
87.0,AARON ,773.0
88.0,ROMAN ,763.0
89.0,AUSTIN ,751.0
90.0,ELLIS ,721.0
91.0,JAMIE ,708.0
91.0,REGGIE ,708.0
93.0,SETH ,703.0
94.0,CARTER ,689.0
95.0,FELIX ,680.0
96.0,IBRAHIM ,674.0
97.0,SONNY ,670.0
98.0,KIAN ,665.0
99.0,CALEB ,659.0
100.0,CONNOR ,642.0
101.0,OWEN ,621.0
102.0,ARLO ,619.0
103.0,DOMINIC ,618.0
104.0,JASPER ,608.0
105.0,ROBERT ,605.0
106.0,TOBIAS ,604.0
107.0,ALBIE ,601.0
108.0,JOHN ,594.0
109.0,JOEL ,591.0
110.0,JESSE ,573.0
